Title,Date Written,Rating,Current/Former,Job Title,Location,Recommendation?,Outlook,Main Text,Pros,Cons
Great Learning Experience,"Jul 10, 2021 ",4.0,Former, Senior Associate,,Recommend,Business Outlook,Share,You become very close with your coworkers and most are very smart. One of the best places to start your career if you are looking to learn a lot,Work a lot of hours.
Good company to work for,"Jul 12, 2021 ",4.0,Current, Tax Senior,,Recommend,Business Outlook,Share,"Good benefits: maternity/paternity leave, sick leave, vacation days","Not very willing to promote from within, slow career path"
First year accountant,"Jul 19, 2021 ",4.0,Current, Staff Accountant,,Recommend,Business Outlook,Share,Friendly and supportive co-workers. I'm still new so this is from a beginners perspective.,A lot of work during busy season
Tax associate,"Jul 13, 2021 ",5.0,Current, Tax Associate,,Recommend,Business Outlook,Share,There are really no Pros I could think of,"Crazy hours, firm culture is pretty bad, most of people who work with you directly are mean and rude"
Senior Analyst,"Mar 25, 2021 ",2.0,Current, Senior Analyst,,Recommend,Business Outlook,Share,"Diverse, mostly great people to work with. If youre lucky, you have a good RL, unless youre at the specialist level. Spoiler alert: the rest are all cons.","Lack of opportunity in desired projects. Horrendous salary - I can resell 1 shoe a month and make more than this. Absolutely NO structure on promotion, despite putting in 100× more effort than your colleagues. Just favoritism and politics. They claim encouraging career progression but they will find ways NOT to promote you than the other way around. RL would rather push down on you with their ego than actually help. This office is an absolute joke and is treated like it is NOT part of PwC, but rather a separate entity (Acceleration Center) and there is not respect for its employees outside of it. Zero respect for people at my level as this is the only office that has a LOWER level than an Associate, which is a beginning level at any other office. We are treated like we are interns and have to literally lick ears to get promoted, which WILL NOT happen unless you're a White Male, at the specialist level. ENJOY. Whatever you do, DO NOT join at this level. It's Horrible."
Good Company,"Jul 21, 2021 ",5.0,Current, Scrum Master,,Recommend,Business Outlook,Share,"Good Firm, opportunity for advancement is up to you. Great benefits",No cons that I can think of.
Great place to work!,"Jul 8, 2021 ",5.0,Current, Anonymous Employee,,Recommend,Business Outlook,Share,Directors and Managers are very understanding of new hires and try to help out as much as possible A lot of room for growth within the company,High levels of work Overtime during busy season Billable hours
Audit,"Aug 17, 2021 ",3.0,Current, Assurance Associate,,Recommend,Business Outlook,Share,Understanding of financial statements through detailed analysis of company financial records and executed testing procedures,Working as an auditor is not an exciting job. The turnover especially is putting more work on the current associates causing burnout.
Solid Firm to Start Career,"Jun 24, 2021 ",4.0,Current, Advisory Associate,,Recommend,Business Outlook,Share,Pay is better than audit or tax Ok hours depending on vertical Generally nice people to work with,Some politics at play Utilization matters a lot. Have a project lined up at all times Extracurricular activities like volunteering and business development projects are a requirement for a good yearly rating
Good environment to learn,"Jul 11, 2021 ",4.0,Former, Senior Auditor,,Recommend,Business Outlook,Share,"Nice, collaborative environment Very great training and learning on the job Invest heavily in technology","Benefits were good but then adjusted down every year, causing frustration Audit can become boring after 1-2 year."
Senior Associate Role,"Jul 16, 2021 ",4.0,Former, Senior Associate,,Recommend,Business Outlook,Share,Collaborative environment with plenty of professionals around the same age as me.,Burnout causes constant cycle of associates leaving and new ones coming in.
Review,"Jul 26, 2021 ",5.0,Current, Data Analyst,,Recommend,Business Outlook,Share,A great place to work.,Not much work life balance
good,"Jul 26, 2021 ",5.0,Former, Financial Analyst,,Recommend,Business Outlook,Share,"very good company, great work","lots of work, very tough"
Great Place to Work,"Jul 23, 2021 ",5.0,Current, Audit Associate,,Recommend,Business Outlook,Share,You worrk with smart people,Work too much for too little
Good Place to Start,"Jul 16, 2021 ",4.0,Former, 57000,,Recommend,Business Outlook,Share,One of the best places to start your career.,To much work but can be fine if you have a good manager.
great company,"Jul 24, 2021 ",4.0,Current, Manager,,Recommend,Business Outlook,Share,"great benefits, perks, commissions, etc","poor work life balance, sales focussed"
Fantastic Company,"Jul 13, 2021 ",5.0,Current, Project Manager,,Recommend,Business Outlook,Share,They absolutely without a doubt take care of their employees and put family first.,Internal movement can be tricky. Salaries are not competitive with current industry standards.
It's a Big 4,"Jul 13, 2021 ",4.0,Current, Experienced Associate,,Recommend,Business Outlook,Share,The ceiling for the job path is quite high. Good people.,It's a Big 4. Insane hours. Little pay at first. Not much work life balance.
High Demand of Work and Mediocre Pay,"Jul 14, 2021 ",4.0,Current, Senior Data Engineer,,Recommend,Business Outlook,Share,-brand recognition -easy to transfer different groups,-Benefits lacking compared to other tech companies -Salaries aren't competitive for the amount of work
Mixed Bag but probably not worth it,"Aug 27, 2021 ",2.0,Current, International Tax,,Recommend,Business Outlook,Share,"Client Exposure, networking and learning resources","Relentless work, political, low comp"
Great place to work,"Jul 9, 2021 ",5.0,Current, Digital Marketing Senior Manager,,Recommend,Business Outlook,Share,"Great people, very flexible in terms of schedule. You have the ability to navigate and create your own career path.",Pay is not as competitive. Advancement is not always available.
Good Company,"Jul 21, 2021 ",4.0,Current, Anonymous Employee,,Recommend,Business Outlook,Share,"Great teaming culture, smart people",Move towards a leaner workforce can cause strain on existing employees
A great place to build a career,"Jul 8, 2021 ",4.0,Current, Manager,,Recommend,Business Outlook,Share,"Diverse work environment, opportunities for development, reputation, great benefits","Bureaucratic, often slow-moving, what’s talked about at the leadership level does not always translate in practice due to misaligned incentives"
not real consulting,"Sep 11, 2021 ",1.0,Former, Internship,,Recommend,Business Outlook,Share,Nice Office in a decent location.,boring job. not real consulting
good,"Jul 22, 2021 ",4.0,Former, Analyst,,Recommend,Business Outlook,Share,pays a lot and interesting work,makes you work long hours with different time zones
Employee Review,"Aug 4, 2021 ",2.0,Former, Director,,Recommend,Business Outlook,Share,"Pays well and has good benefits, opportunity to learn new skills. Focus on development and consulting skills.","Partnership model dead ends older workers, not a place to spend your twilight years. Partner's role tend to grind work out of those in Director position."
Good company,"Jul 19, 2021 ",5.0,Current, Audit Associate,,Recommend,Business Outlook,Share,- Great benefits - Fun programs to join,- Long working hours - can be difficult at times
Review,"Jul 21, 2021 ",4.0,Current, Tax Associate,,Recommend,Business Outlook,Share,Good people and quality of life,Lots of admin work that could be outsourced
Great place to work,"Jul 20, 2021 ",4.0,Current, Assurance Associate,,Recommend,Business Outlook,Share,Use of advance tech Great perks,Bad work-life balance Can be exhausting
Great Place to Grow Your Career,"May 6, 2021 ",5.0,Current, Senior Manager,,Recommend,Business Outlook,Share,"With any huge firm, keep in mind that experiences can vary between different practice groups, lines of service, etc. Having said that, PwC is very mindful of how its employees develop their careers . . . there is a lot of attention paid to transparency and coaching. The firm also tends to be flexible with allowing employees to rotate or transfer between groups. Regardless of long-term plans, it's a great place to gain experience and develop professionally.","Though the firm puts a lot of focus on work/life balance, the reality is that it can be difficult to achieve in practice."
